Outlet,Count
Yahoo! Finance,25126
Yahoo,20980
Benzinga,15226
Yahoo,12926
NASDAQ Stock Market,10314
Seeking Alpha,10060
Yahoo Sports,8418
CBS News,6740
Forbes,6440
Bloomberg Business,6361
Sports Illustrated,5857
Markets Insider,5544
PEOPLE.com,4888
New York Post,4782
Aol,4455
Newsweek,4287
The Motley Fool,4035
The New York Times,4013
Collider,3587
U.S. News & World Report,3388
Yahoo! Finance,3321
Comicbook,3160
CBS Sports,3029
Fox News,3016
CBR,2896
Sporting News,2834
Us Weekly,2808
Game Rant,2648
The Boston Globe,2632
Morningstar,2549
NJ.com,2427
The US Sun,2343
The Hill,2289
Notebookcheck,2160
Breitbart,1982
Washington Examiner,1944
Variety,1929
Home,1892
Axios,1848
National Library of Medicine,1843
Tom's Guide,1819
CNBC,1790
Raw Story,1776
The Daily Beast,1770
Chicago Tribune,1705
Deadline,1682
Los Angeles Times,1660
The Daily Caller,1618
gamesradar,1614
USA Today,1600
